year,day,low,open,high,close,volumn
2016, 0607, 316818, 318244, 318662, 317705, 6892831400
2016, 0608, 314835, 317181, 317497, 316399, 7629177500
2016, 0613, 306577, 313405, 314561, 306634, 9297594700
2016, 0614, 305566, 305844, 307875, 307598, 6627945700
2016, 0615, 304223, 304396, 312867, 311637, 8739325700
2016, 0616, 308948, 310436, 311248, 309467, 8297470300
2016, 0617, 309609, 309609, 313105, 311036, 8540298500
2016, 0620, 308971, 311491, 311873, 311267, 6358714100
2016, 0621, 309794, 312490, 315549, 310632, 8796534500
2016, 0622, 309699, 310045, 313406, 313396, 6648711300
2016, 0623, 310248, 312972, 312972, 311732, 6775173800
2016, 0624, 303397, 311065, 313054, 307716, 10479220800
2016, 0627, 306497, 306513, 312064, 312054, 8326725900
2016, 0628, 309970, 310740, 313943, 313640, 9202463700
2016, 0629, 313913, 314248, 315808, 315139, 10372366800
2016, 0630, 314820, 315283, 316372, 315392, 7969261700
2016, 0701, 314830, 315693, 317026, 315420, 7174628300
2016, 0704, 313402, 313639, 321060, 320470, 13331052900
2016, 0705, 319800, 319916, 321670, 320738, 13022689500
2016, 0706, 318345, 319763, 321752, 321680, 12489745800
2016, 0707, 319012, 320655, 322054, 320995, 11859520200
2016, 0708, 318396, 319975, 320493, 319228, 8973485500
2016, 0711, 319763, 319904, 323596, 320333, 13852951000
2016, 0712, 320030, 320191, 327347, 327318, 17253422000
2016, 0713, 327178, 327402, 330099, 328287, 17519609000
2016, 0714, 325907, 327748, 328195, 327676, 10752579800
2016, 0715, 326529, 327884, 328503, 327628, 10266502600
2016, 0718, 325177, 326971, 328164, 326202, 11031251800
2016, 0719, 322620, 326044, 326473, 324823, 8888686100
2016, 0720, 323226, 324686, 325451, 323761, 7270125500
2016, 0721, 323830, 323834, 327137, 325252, 8600482500
2016, 0722, 322089, 325124, 325377, 322516, 8602912800
2016, 0725, 321814, 322017, 324379, 323089, 7020318500
2016, 0726, 322801, 322823, 326975, 326959, 8105108900
2016, 0727, 315741, 327008, 327651, 321824, 16018867000
2016, 0728, 319527, 320447, 323578, 322114, 11277996400
2016, 0729, 319868, 321719, 322542, 320393, 8804483700
2016, 0801, 315675, 319643, 319998, 317681, 8700349700
2016, 0802, 316554, 317376, 318905, 318905, 6216763900
2016, 0803, 317354, 317968, 319716, 319351, 7286410200
2016, 0804, 317042, 319055, 320155, 320129, 7350437300
2016, 0805, 319286, 320135, 322487, 320511, 7719636600
2016, 0808, 318725, 319957, 323448, 323418, 8667605100
